team,first_line_xg60,secondary_xg60,disparity_ratio
usa,0.8197152908156101,0.6008287374286906,0.3106466979698325
saudi_arabia,0.8352263422449329,0.6128817758024672,0.3095302666439405
guatemala,1.0152933810426328,0.7489570951073786,0.30425084584415063
uae,0.7121637446119784,0.5254950319460073,0.3039666282472269
france,0.9369727044301915,0.6992300317691983,0.29267401309217933
iceland,0.8779539601578461,0.6630686713671816,0.28071522441043767
singapore,0.7500826267776601,0.5976724117329918,0.22714023214539256
new_zealand,0.8548942282773241,0.6978055266783978,0.20303703947054003
panama,0.8872242934359893,0.7399960801070211,0.18145270452379328
peru,0.9605590830667426,0.801923690549108,0.1805018328008993
rwanda,0.7712404901785107,0.6463975659639336,0.17658525264648967
india,0.8649318285716654,0.7413072273823395,0.1542353488983317
uk,0.9656599830415127,0.828310807328487,0.15342316098667455
netherlands,0.9119779856959961,0.8188131280692698,0.10775983956717343
serbia,0.8875279091978616,0.7985894288690207,0.10559288489310258
south_korea,0.9142623139629464,0.8261673723903917,0.10132002622465798
mexico,0.9827224917213271,0.9278779002853184,0.05742656147663524
china,0.9611542842548636,0.9138072736820633,0.05051519879198799
mongolia,0.5218887591779927,0.4991798741672181,0.044487872909897704
pakistan,1.0652233308290677,1.0293234632346888,0.03428269012269277
canada,0.8541284610249902,0.8451480123866275,0.010569818175762894
kazakhstan,0.6117290626448646,0.6107532517268508,0.001596439502396028
philippines,0.6748456454367224,0.6745777151066026,0.0003971028579643043
morocco,0.8160888560081047,0.8169114090642877,-0.0010074121063299397
oman,0.745610151879518,0.7589823734726833,-0.017775651143119596
brazil,1.0220863809122065,1.0429724475988726,-0.020228729934680778
thailand,1.0780289280386455,1.1034797583834584,-0.023334275004520233
indonesia,0.6453262241924365,0.6721943041468315,-0.04079141698932013
germany,0.7185472107000863,0.7516153381105137,-0.04499320271298963
vietnam,0.6342288660316721,0.6713681204240847,-0.056907637228098905
ethiopia,0.7108191856424726,0.7848038737179658,-0.09901562401065919
switzerland,0.6216540277721875,0.6993087953194645,-0.11770852078028747
