game_id,home_team,away_team,record_id,went_ot,home_off_line,home_def_pairing,away_off_line,away_def_pairing,home_goalie,away_goalie,toi,home_assists,home_shots,home_xg,home_max_xg,home_goals,away_assists,away_shots,away_xg,away_max_xg,away_goals,home_penalties_committed,home_penalty_minutes,away_penalties_committed,away_penalty_minutes
game_1,thailand,pakistan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3599.9900000000002,2,21,2.8230999999999997,1.3905,1,6,24,2.7516,1.2546,3,8,16,6,12
game_10,switzerland,kazakhstan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3600.01,7,20,1.9254,1.2758,4,4,30,3.3189,1.2719,3,10,20,0,0
game_100,serbia,rwanda,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,7,30,3.6712,1.7835999999999999,4,10,27,3.024,1.2909,5,8,16,10,20
game_1000,brazil,netherlands,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3600.03,6,32,3.5905,1.5239,5,0,27,2.5261,1.134,0,10,20,6,12
game_1001,india,morocco,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3599.99,4,32,3.4592,1.8355000000000001,2,6,29,3.7658000000000005,1.2034,3,8,16,8,16
game_1002,peru,saudi_arabia,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,5676.92,0,35,3.3131,1.5098,0,2,23,2.5685000000000002,1.3251,1,12,24,8,16
game_1003,china,pakistan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3600.01,6,20,2.1864,1.2303,4,6,34,3.3309,1.3943,3,6,12,7,14
game_1004,switzerland,uk,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2,18,1.5251,1.056,1,6,26,2.7155,1.2664,4,6,12,3,6
game_1005,serbia,philippines,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3599.99,2,24,2.4898,1.3179,2,1,27,2.4407,0.8613,1,6,12,4,8
game_1006,germany,canada,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3600.02,6,29,3.1746,1.268,5,2,19,2.1493,0.9044,1,5,10,4,8
game_1007,guatemala,ethiopia,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3600.01,5,31,3.1553,1.4298,4,4,21,1.7116,0.9479,2,7,14,7,14
game_1008,south_korea,oman,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3599.98,6,30,3.2679,1.401,4,1,18,1.873,1.2364,2,9,20,14,28
game_1009,mongolia,new_zealand,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3599.98,3,26,2.4405,0.8875,2,13,30,3.4256,1.3525,7,8,16,4,8
game_101,canada,panama,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,2,24,2.8035,1.6403,2,6,22,2.3543,1.2327,4,4,8,5,10
game_1010,netherlands,iceland,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3599.99,0,19,2.2677,1.1462,0,8,20,2.0596,1.0071,4,9,18,6,15
game_1011,indonesia,uae,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3599.99,0,27,2.3026999999999997,1.2329,2,2,15,1.7261,1.163,1,8,16,9,18
game_1012,mexico,usa,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3599.98,3,32,3.8837,1.4684,4,6,18,2.001,1.1376,3,6,12,6,12
game_1013,panama,rwanda,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,9,25,3.5503,0.9323,5,2,24,2.2175,1.1389,1,5,10,13,26
game_1014,kazakhstan,france,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3599.99,2,15,1.4778,1.0258,1,11,29,3.4081,1.3169,6,5,12,4,8
