team,first_line_xg60,secondary_xg60,disparity_ratio
usa,0.045368465545414904,0.03325383603080835,1.3643077298926607
saudi_arabia,0.037172690508871925,0.02727699477149861,1.3627854102063033
guatemala,0.04645436900055502,0.034268251828818916,1.3556095371485457
uae,0.033040725069329695,0.024380259465871464,1.3552245051198706
france,0.04237836898557432,0.03162549789551278,1.340006381103876
iceland,0.04290274057030988,0.032401998827878996,1.3240769743314706
singapore,0.04356999710923518,0.034716955601739374,1.2550062744284023
new_zealand,0.04029315492442559,0.032889198761150255,1.2251181677317453
panama,0.04219693523960354,0.03519467050311251,1.198958098950572
peru,0.03954605877272045,0.03301506586814337,1.19781856352069
rwanda,0.0387294433932148,0.03246019660445668,1.1931364392259218
india,0.04013824011285428,0.03440128632935518,1.1667656763928524
uk,0.04514034802226998,0.03871987942966045,1.1658184035483148
netherlands,0.03558094003378156,0.03194610096478527,1.1137803662801615
serbia,0.04656014806940005,0.04189439190526901,1.1113694686076643
south_korea,0.045148671852852915,0.040798312499512324,1.106630865023954
mexico,0.042526072892292086,0.04015274256475434,1.0591075522104194
china,0.04159967432047221,0.03955045053596461,1.0518129062182027
mongolia,0.027377679482085145,0.026186397692073503,1.0454923889883578
pakistan,0.04942915536768601,0.04776330738853894,1.0348771488037027
canada,0.039392014053015824,0.03897783986832674,1.010625888609739
kazakhstan,0.02781066977155242,0.027766307067771393,1.0015977171063024
philippines,0.030573776632273994,0.030561638090488195,1.0003971823025277
morocco,0.0384844567280281,0.038523246018267926,0.9989930939303134
oman,0.04100178456675367,0.041737135269208234,0.982381380568851
brazil,0.044707594971630356,0.04562118292996373,0.9799744789665826
thailand,0.04715028226867784,0.048263437772689634,0.9769358430442829
indonesia,0.030060899070512664,0.03131248099830161,0.9600292954155618
germany,0.036130194908069506,0.037792935881511676,0.9560039215091627
vietnam,0.033424233949080874,0.03538149448071432,0.9446812363253817
ethiopia,0.036995373819079316,0.04084598906347081,0.9057284366793518
switzerland,0.02841783547335623,0.03196768846118074,0.8889549680098017
